statement,label,statement_rephrased,statement1,label1,city1,country1,correct_country1,statement2,label2,city2,country2,correct_country2
It is the case both that the city of Aktobe is in Kazakhstan and that the city of Deyang is in China.,1,"It is true that the city known as Aktobe is geographically situated within the territorial boundaries of the country called Kazakhstan, and simultaneously, it is also the case that the city identified as Deyang is located within the national borders of the country known as China.",The city of Aktobe is in Kazakhstan.,1,Aktobe,Kazakhstan,Kazakhstan,The city of Deyang is in China.,1,Deyang,China,China
It is the case both that the city of Mukalla is in Yemen and that the city of Quzhou is in China.,1,"It is true that the city known as Mukalla is geographically situated within the territorial boundaries of the country called Yemen, and simultaneously, it is also the case that the city identified as Quzhou is located within the national borders of the country known as China.",The city of Mukalla is in Yemen.,1,Mukalla,Yemen,Yemen,The city of Quzhou is in China.,1,Quzhou,China,China
It is the case both that the city of Nanded is in India and that the city of Erbil is in Iraq.,1,"It is true that the city known as Nanded is geographically located within the territorial boundaries of the country called India, and simultaneously, it is also the case that the city identified as Erbil is situated within the national borders of the country known as Iraq.",The city of Nanded is in India.,1,Nanded,India,India,The city of Erbil is in Iraq.,1,Erbil,Iraq,Iraq
It is the case both that the city of New South Memphis is in the United States and that the city of Nasiriyah is in Iraq.,1,"It is true that the city known as New South Memphis is geographically located within the territorial boundaries of the country called the United States, and simultaneously, it is also the case that the city identified as Nasiriyah is situated within the national borders of the country known as Iraq.",The city of New South Memphis is in the United States.,1,New South Memphis,United States,United States,The city of Nasiriyah is in Iraq.,1,Nasiriyah,Iraq,Iraq
It is the case both that the city of Pune is in India and that the city of Rui'an is in China.,1,"It is true that the city known as Pune is geographically located within the territorial boundaries of the country called India, and simultaneously, it is also the case that the city identified as Rui'an is situated within the national borders of the country known as China.",The city of Pune is in India.,1,Pune,India,India,The city of Rui'an is in China.,1,Rui'an,China,China
It is the case both that the city of Lanzhou is in China and that the city of Istanbul is in Turkey.,1,"It is true that the city known as Lanzhou is geographically located within the territorial boundaries of the country called China, and simultaneously, it is also the case that the city identified as Istanbul is situated within the national borders of the country known as Turkey.",The city of Lanzhou is in China.,1,Lanzhou,China,China,The city of Istanbul is in Turkey.,1,Istanbul,Turkey,Turkey
It is the case both that the city of Handan is in China and that the city of Kermanshah is in Iran.,1,"It is true that the city known as Handan is geographically located within the territorial boundaries of the country called China, and simultaneously, it is also the case that the city identified as Kermanshah is situated within the national borders of the country known as Iran.",The city of Handan is in China.,1,Handan,China,China,The city of Kermanshah is in Iran.,1,Kermanshah,"Iran, Islamic Rep. of","Iran, Islamic Rep. of"
It is the case both that the city of Mandalay is in Myanmar and that the city of Soweto is in South Africa.,1,"It is true that the city known as Mandalay is geographically situated within the territorial boundaries of the country called Myanmar, and simultaneously, it is also the case that the city identified as Soweto is located within the national borders of the country known as South Africa.",The city of Mandalay is in Myanmar.,1,Mandalay,Myanmar,Myanmar,The city of Soweto is in South Africa.,1,Soweto,South Africa,South Africa
It is the case both that the city of Namangan is in Uzbekistan and that the city of Weinan is in China.,1,"It is true that the city known as Namangan is geographically situated within the territorial boundaries of the country called Uzbekistan, and simultaneously, it is also the case that the city identified as Weinan is located within the national borders of the country known as China.",The city of Namangan is in Uzbekistan.,1,Namangan,Uzbekistan,Uzbekistan,The city of Weinan is in China.,1,Weinan,China,China
It is the case both that the city of Leipzig is in Germany and that the city of Khartoum is in Sudan.,1,"It is true that the city known as Leipzig is geographically situated within the territorial boundaries of the country called Germany, and simultaneously, it is also the case that the city identified as Khartoum is located within the national borders of the country known as Sudan.",The city of Leipzig is in Germany.,1,Leipzig,Germany,Germany,The city of Khartoum is in Sudan.,1,Khartoum,"Sudan, The Republic of","Sudan, The Republic of"
It is the case both that the city of Buraydah is in Saudi Arabia and that the city of Asyut is in Egypt.,1,"It is true that the city known as Buraydah is geographically situated within the territorial boundaries of the country called Saudi Arabia, and simultaneously, it is also the case that the city identified as Asyut is located within the national borders of the country known as Egypt.",The city of Buraydah is in Saudi Arabia.,1,Buraydah,Saudi Arabia,Saudi Arabia,The city of Asyut is in Egypt.,1,Asyut,Egypt,Egypt
It is the case both that the city of Can Tho is in Vietnam and that the city of Zhenjiang is in China.,1,"It is true that the city known as Can Tho is geographically situated within the territorial boundaries of the country called Vietnam, and simultaneously, it is also the case that the city identified as Zhenjiang is located within the national borders of the country known as China.",The city of Can Tho is in Vietnam.,1,Can Tho,Viet Nam,Viet Nam,The city of Zhenjiang is in China.,1,Zhenjiang,China,China
It is the case both that the city of Daejeon is in South Korea and that the city of E'zhou is in China.,1,"It is true that the city known as Daejeon is geographically situated within the territorial boundaries of the country called South Korea, and simultaneously, it is also the case that the city identified as E'zhou is located within the national borders of the country known as China.",The city of Daejeon is in South Korea.,1,Daejeon,"Korea, Republic of","Korea, Republic of",The city of E'zhou is in China.,1,E'zhou,China,China
It is the case both that the city of Iztapalapa is in Mexico and that the city of Pyongyang is in North Korea.,1,"It is true that the city known as Iztapalapa is geographically situated within the territorial boundaries of the country called Mexico, and simultaneously, it is also the case that the city identified as Pyongyang is located within the national borders of the country known as North Korea.",The city of Iztapalapa is in Mexico.,1,Iztapalapa,Mexico,Mexico,The city of Pyongyang is in North Korea.,1,Pyongyang,"Korea, Dem. People's Rep. of","Korea, Dem. People's Rep. of"
It is the case both that the city of Hanzhong is in China and that the city of Thane is in India.,1,"It is true that the city known as Hanzhong is geographically located within the territorial boundaries of the country called China, and simultaneously, it is also the case that the city identified as Thane is situated within the national borders of the country known as India.",The city of Hanzhong is in China.,1,Hanzhong,China,China,The city of Thane is in India.,1,Thane,India,India
It is the case both that the city of Fortaleza is in Brazil and that the city of Bogor is in Indonesia.,1,"It is true that the city known as Fortaleza is geographically situated within the territorial boundaries of the country called Brazil, and simultaneously, it is also the case that the city identified as Bogor is located within the national borders of the country known as Indonesia.",The city of Fortaleza is in Brazil.,1,Fortaleza,Brazil,Brazil,The city of Bogor is in Indonesia.,1,Bogor,Indonesia,Indonesia
It is the case both that the city of Najafgarh is in India and that the city of Sevastopol is in Ukraine.,1,"It is true that the city known as Najafgarh is geographically located within the territorial boundaries of the country called India, and simultaneously, it is also the case that the city identified as Sevastopol is situated within the national borders of the country known as Ukraine.",The city of Najafgarh is in India.,1,Najafgarh,India,India,The city of Sevastopol is in Ukraine.,1,Sevastopol,Ukraine,Ukraine
It is the case both that the city of Theni is in India and that the city of Zhoushan is in China.,1,"It is true that the city known as Theni is geographically located within the territorial boundaries of the country called India, and simultaneously, it is also the case that the city identified as Zhoushan is situated within the national borders of the country known as China.",The city of Theni is in India.,1,Theni,India,India,The city of Zhoushan is in China.,1,Zhoushan,China,China
It is the case both that the city of Chattogram is in Bangladesh and that the city of Onitsha is in Nigeria.,1,"It is true that the city known as Chattogram is geographically situated within the territorial boundaries of the country called Bangladesh, and simultaneously, it is also the case that the city identified as Onitsha is located within the national borders of the country known as Nigeria.",The city of Chattogram is in Bangladesh.,1,Chattogram,Bangladesh,Bangladesh,The city of Onitsha is in Nigeria.,1,Onitsha,Nigeria,Nigeria
It is the case both that the city of Puente Alto is in Chile and that the city of Yaroslavl is in Russia.,1,"It is true that the city known as Puente Alto is geographically situated within the territorial boundaries of the country called Chile, and simultaneously, it is also the case that the city identified as Yaroslavl is located within the national borders of the country known as Russia.",The city of Puente Alto is in Chile.,1,Puente Alto,Chile,Chile,The city of Yaroslavl is in Russia.,1,Yaroslavl,Russian Federation,Russian Federation
It is the case both that the city of Meerut is in India and that the city of Varanasi is in India.,1,"It is true that the city known as Meerut is geographically located within the territorial boundaries of the country called India, and simultaneously, it is also the case that the city identified as Varanasi is situated within the same national borders, meaning that both Meerut and Varanasi are cities that exist within the country of India.",The city of Meerut is in India.,1,Meerut,India,India,The city of Varanasi is in India.,1,Varanasi,India,India
It is the case both that the city of Kumasi is in Ghana and that the city of Qinhuangdao is in China.,1,"It is true that the city known as Kumasi is geographically located within the territorial boundaries of the country called Ghana, and simultaneously, it is also the case that the city identified as Qinhuangdao is situated within the national borders of the country known as China.",The city of Kumasi is in Ghana.,1,Kumasi,Ghana,Ghana,The city of Qinhuangdao is in China.,1,Qinhuangdao,China,China
It is the case both that the city of Campos dos Goytacazes is in Brazil and that the city of Dushanbe is in Tajikistan.,1,"It is true that the city known as Campos dos Goytacazes is geographically situated within the territorial boundaries of the country called Brazil, and simultaneously, it is also the case that the city identified as Dushanbe is located within the national borders of the country known as Tajikistan.",The city of Campos dos Goytacazes is in Brazil.,1,Campos dos Goytacazes,Brazil,Brazil,The city of Dushanbe is in Tajikistan.,1,Dushanbe,Tajikistan,Tajikistan
It is the case both that the city of Kota Bharu is in Malaysia and that the city of Minsk is in Belarus.,1,"It is true that the city known as Kota Bharu is geographically situated within the territorial boundaries of the country called Malaysia, and simultaneously, it is also the case that the city identified as Minsk is located within the national borders of the country known as Belarus, meaning that Kota Bharu is a city that exists within the country of Malaysia, while Minsk is a city that exists within the country of Belarus.",The city of Kota Bharu is in Malaysia.,1,Kota Bharu,Malaysia,Malaysia,The city of Minsk is in Belarus.,1,Minsk,Belarus,Belarus
It is the case both that the city of Bouake is in Côte d'Ivoire and that the city of Tolyatti is in Russia.,1,"It is true that the city known as Bouake is geographically situated within the territorial boundaries of the country officially recognized as Côte d'Ivoire, and simultaneously, it is also the case that the city identified as Tolyatti is located within the national borders of the country known as Russia.",The city of Bouake is in Côte d'Ivoire.,1,Bouake,Côte d'Ivoire,Côte d'Ivoire,The city of Tolyatti is in Russia.,1,Tolyatti,Russian Federation,Russian Federation
It is the case both that the city of Istanbul is in Turkey and that the city of Theni is in India.,1,"It is true that the city known as Istanbul is geographically situated within the territorial boundaries of the country called Turkey, and simultaneously, it is also the case that the city identified as Theni is located within the national borders of the country known as India.",The city of Istanbul is in Turkey.,1,Istanbul,Turkey,Turkey,The city of Theni is in India.,1,Theni,India,India
It is the case both that the city of Irbid is in Jordan and that the city of Nagoya is in Japan.,1,"It is true that the city known as Irbid is geographically situated within the territorial boundaries of the country called Jordan, and simultaneously, it is also the case that the city identified as Nagoya is located within the national borders of the country known as Japan.",The city of Irbid is in Jordan.,1,Irbid,Jordan,Jordan,The city of Nagoya is in Japan.,1,Nagoya,Japan,Japan
It is the case both that the city of Kigali is in Rwanda and that the city of Bandar Lampung is in Indonesia.,1,"It is true that the city known as Kigali is geographically situated within the territorial boundaries of the country called Rwanda, and simultaneously, it is also the case that the city identified as Bandar Lampung is located within the national borders of the country known as Indonesia.",The city of Kigali is in Rwanda.,1,Kigali,Rwanda,Rwanda,The city of Bandar Lampung is in Indonesia.,1,Bandar Lampung,Indonesia,Indonesia
It is the case both that the city of Rajkot is in India and that the city of Sendai is in Japan.,1,"It is true that the city known as Rajkot is geographically located within the territorial boundaries of the country called India, and simultaneously, it is also the case that the city identified as Sendai is situated within the national borders of the country known as Japan.",The city of Rajkot is in India.,1,Rajkot,India,India,The city of Sendai is in Japan.,1,Sendai,Japan,Japan
It is the case both that the city of Hannover is in Germany and that the city of Basrah is in Iraq.,1,"It is true that the city known as Hannover is geographically situated within the territorial boundaries of the country called Germany, and simultaneously, it is also the case that the city identified as Basrah is located within the national borders of the country known as Iraq.",The city of Hannover is in Germany.,1,Hannover,Germany,Germany,The city of Basrah is in Iraq.,1,Basrah,Iraq,Iraq
It is the case both that the city of Kyiv is in Ukraine and that the city of Rio de Janeiro is in Brazil.,1,"It is true that the city known as Kyiv is geographically situated within the territorial boundaries of the country called Ukraine, and simultaneously, it is also the case that the city identified as Rio de Janeiro is located within the national borders of the country known as Brazil.",The city of Kyiv is in Ukraine.,1,Kyiv,Ukraine,Ukraine,The city of Rio de Janeiro is in Brazil.,1,Rio de Janeiro,Brazil,Brazil
It is the case both that the city of Xiamen is in China and that the city of Wanzhou is in China.,1,"It is true that the city known as Xiamen is geographically situated within the territorial boundaries of the country called China, and simultaneously, it is also the case that the city identified as Wanzhou is located within the same national borders, meaning that both Xiamen and Wanzhou are cities that exist within the country of China.",The city of Xiamen is in China.,1,Xiamen,China,China,The city of Wanzhou is in China.,1,Wanzhou,China,China
It is the case both that the city of Bucheon-si is in South Korea and that the city of Homs is in Syria.,1,"It is true that the city known as Bucheon-si is geographically situated within the territorial boundaries of the country referred to as South Korea, and simultaneously, it is also the case that the city identified as Homs is located within the national borders of the country known as Syria.",The city of Bucheon-si is in South Korea.,1,Bucheon-si,"Korea, Republic of","Korea, Republic of",The city of Homs is in Syria.,1,Homs,Syrian Arab Republic,Syrian Arab Republic
It is the case both that the city of Ribeirao Preto is in Brazil and that the city of Tashkent is in Uzbekistan.,1,"It is true that the city known as Ribeirao Preto is geographically situated within the territorial boundaries of the country called Brazil, and simultaneously, it is also the case that the city identified as Tashkent is located within the national borders of the country known as Uzbekistan, meaning that Ribeirao Preto is a city that exists within Brazil, while Tashkent is a city that exists within Uzbekistan.",The city of Ribeirao Preto is in Brazil.,1,Ribeirao Preto,Brazil,Brazil,The city of Tashkent is in Uzbekistan.,1,Tashkent,Uzbekistan,Uzbekistan
It is the case both that the city of Port-au-Prince is in Haiti and that the city of Pasig City is in the Philippines.,1,"It is true that the city known as Port-au-Prince is geographically located within the territorial boundaries of the country called Haiti, and simultaneously, it is also the case that the city identified as Pasig City is situated within the national borders of the country known as the Philippines.",The city of Port-au-Prince is in Haiti.,1,Port-au-Prince,Haiti,Haiti,The city of Pasig City is in the Philippines.,1,Pasig City,Philippines,Philippines
It is the case both that the city of Tokyo is in Japan and that the city of Dushanbe is in Tajikistan.,1,"It is true that the city known as Tokyo is geographically situated within the territorial boundaries of the country called Japan, and simultaneously, it is also the case that the city identified as Dushanbe is located within the national borders of the country known as Tajikistan, meaning that Tokyo is a city that exists within Japan and Dushanbe is a city that exists within Tajikistan.",The city of Tokyo is in Japan.,1,Tokyo,Japan,Japan,The city of Dushanbe is in Tajikistan.,1,Dushanbe,Tajikistan,Tajikistan
It is the case both that the city of Pikine is in Senegal and that the city of Chenzhou is in China.,1,"It is true that the city known as Pikine is geographically situated within the territorial boundaries of the country called Senegal, and simultaneously, it is also the case that the city identified as Chenzhou is located within the national borders of the country known as China.",The city of Pikine is in Senegal.,1,Pikine,Senegal,Senegal,The city of Chenzhou is in China.,1,Chenzhou,China,China
It is the case both that the city of Sorocaba is in Brazil and that the city of Da Nang is in Vietnam.,1,"It is true that the city known as Sorocaba is geographically situated within the territorial boundaries of the country called Brazil, and simultaneously, it is also the case that the city identified as Da Nang is located within the national borders of the country known as Vietnam.",The city of Sorocaba is in Brazil.,1,Sorocaba,Brazil,Brazil,The city of Da Nang is in Vietnam.,1,Da Nang,Viet Nam,Viet Nam
It is the case both that the city of San Pedro Sula is in Honduras and that the city of Bhiwandi is in India.,1,"It is true that the city known as San Pedro Sula is geographically located within the territorial boundaries of the country called Honduras, and simultaneously, it is also the case that the city identified as Bhiwandi is situated within the national borders of the country known as India.",The city of San Pedro Sula is in Honduras.,1,San Pedro Sula,Honduras,Honduras,The city of Bhiwandi is in India.,1,Bhiwandi,India,India
It is the case both that the city of Chongqing is in China and that the city of Mysore is in India.,1,"It is true that the city known as Chongqing is geographically located within the territorial boundaries of the country called China, and simultaneously, it is also the case that the city identified as Mysore is situated within the national borders of the country known as India.",The city of Chongqing is in China.,1,Chongqing,China,China,The city of Mysore is in India.,1,Mysore,India,India
It is the case both that the city of Weifang is in China and that the city of Durban is in South Africa.,1,"It is true that the city known as Weifang is geographically situated within the territorial boundaries of the country called China, and simultaneously, it is also the case that the city identified as Durban is located within the national borders of the country known as South Africa.",The city of Weifang is in China.,1,Weifang,China,China,The city of Durban is in South Africa.,1,Durban,South Africa,South Africa
It is the case both that the city of Vladivostok is in Russia and that the city of Calgary is in Canada.,1,"It is true that the city known as Vladivostok is geographically situated within the territorial boundaries of the country called Russia, and simultaneously, it is also the case that the city identified as Calgary is located within the national borders of the country known as Canada.",The city of Vladivostok is in Russia.,1,Vladivostok,Russian Federation,Russian Federation,The city of Calgary is in Canada.,1,Calgary,Canada,Canada
It is the case both that the city of Mosul is in Iraq and that the city of Luohe is in China.,1,"It is true that the city known as Mosul is geographically situated within the territorial boundaries of the country called Iraq, and simultaneously, it is also the case that the city identified as Luohe is located within the national borders of the country known as China.",The city of Mosul is in Iraq.,1,Mosul,Iraq,Iraq,The city of Luohe is in China.,1,Luohe,China,China
It is the case both that the city of Batam is in Indonesia and that the city of Basrah is in Iraq.,1,"It is true that the city known as Batam is geographically situated within the territorial boundaries of the country called Indonesia, and simultaneously, it is also the case that the city identified as Basrah is located within the national borders of the country known as Iraq.",The city of Batam is in Indonesia.,1,Batam,Indonesia,Indonesia,The city of Basrah is in Iraq.,1,Basrah,Iraq,Iraq
It is the case both that the city of Ordos is in China and that the city of Wanning is in China.,1,"It is true that the city known as Ordos is geographically situated within the territorial boundaries of the country called China, and simultaneously, it is also the case that the city identified as Wanning is located within the same national borders, meaning that both Ordos and Wanning are cities that exist within the country of China.",The city of Ordos is in China.,1,Ordos,China,China,The city of Wanning is in China.,1,Wanning,China,China
It is the case both that the city of Al Fayyum is in Egypt and that the city of Abu Dhabi is in the United Arab Emirates.,1,"It is true that the city known as Al Fayyum is geographically situated within the territorial boundaries of the country called Egypt, and simultaneously, it is also the case that the city identified as Abu Dhabi is located within the national borders of the country known as the United Arab Emirates.",The city of Al Fayyum is in Egypt.,1,Al Fayyum,Egypt,Egypt,The city of Abu Dhabi is in the United Arab Emirates.,1,Abu Dhabi,United Arab Emirates,United Arab Emirates
It is the case both that the city of Makassar is in Indonesia and that the city of Ludhiana is in India.,1,"It is true that the city known as Makassar is geographically situated within the territorial boundaries of the country called Indonesia, and simultaneously, it is also the case that the city identified as Ludhiana is located within the national borders of the country known as India.",The city of Makassar is in Indonesia.,1,Makassar,Indonesia,Indonesia,The city of Ludhiana is in India.,1,Ludhiana,India,India
It is the case both that the city of Chelyabinsk is in Russia and that the city of Jabalpur is in India.,1,"It is true that the city known as Chelyabinsk is geographically located within the territorial boundaries of the country called Russia, and simultaneously, it is also the case that the city identified as Jabalpur is situated within the national borders of the country known as India.",The city of Chelyabinsk is in Russia.,1,Chelyabinsk,Russian Federation,Russian Federation,The city of Jabalpur is in India.,1,Jabalpur,India,India
It is the case both that the city of Mersin is in Turkey and that the city of Budapest is in Hungary.,1,"It is true that the city known as Mersin is geographically situated within the territorial boundaries of the country called Turkey, and simultaneously, it is also the case that the city identified as Budapest is located within the national borders of the country known as Hungary, meaning that Mersin is a city that exists within the borders of Turkey and Budapest is a city that exists within the borders of Hungary.",The city of Mersin is in Turkey.,1,Mersin,Turkey,Turkey,The city of Budapest is in Hungary.,1,Budapest,Hungary,Hungary
It is the case both that the city of Goeteborg is in Sweden and that the city of Daqing is in China.,1,"It is true that the city known as Goeteborg is geographically situated within the territorial boundaries of the country called Sweden, and simultaneously, it is also the case that the city identified as Daqing is located within the national borders of the country known as China.",The city of Goeteborg is in Sweden.,1,Goeteborg,Sweden,Sweden,The city of Daqing is in China.,1,Daqing,China,China
It is the case both that the city of Ahvaz is in Iran and that the city of Ouagadougou is in Burkina Faso.,1,"It is true that the city known as Ahvaz is geographically situated within the territorial boundaries of the country called Iran, and simultaneously, it is also the case that the city identified as Ouagadougou is located within the national borders of the country known as Burkina Faso, meaning that Ahvaz is a city that exists within the country of Iran, while Ouagadougou is a city that exists within the country of Burkina Faso.",The city of Ahvaz is in Iran.,1,Ahvaz,"Iran, Islamic Rep. of","Iran, Islamic Rep. of",The city of Ouagadougou is in Burkina Faso.,1,Ouagadougou,Burkina Faso,Burkina Faso
It is the case both that the city of Batam is in Indonesia and that the city of Subang Jaya is in Malaysia.,1,"It is true that the city known as Batam is geographically situated within the territorial boundaries of the country called Indonesia, and simultaneously, it is also the case that the city identified as Subang Jaya is located within the national borders of the country known as Malaysia.",The city of Batam is in Indonesia.,1,Batam,Indonesia,Indonesia,The city of Subang Jaya is in Malaysia.,1,Subang Jaya,Malaysia,Malaysia
It is the case both that the city of Zhuzhou is in China and that the city of Sendai is in Japan.,1,"It is true that the city known as Zhuzhou is geographically located within the territorial boundaries of the country called China, and simultaneously, it is also the case that the city identified as Sendai is situated within the national borders of the country known as Japan.",The city of Zhuzhou is in China.,1,Zhuzhou,China,China,The city of Sendai is in Japan.,1,Sendai,Japan,Japan
It is the case both that the city of Lodz is in Poland and that the city of Kahriz is in Iran.,1,"It is true that the city known as Lodz is geographically situated within the territorial boundaries of the country called Poland, and simultaneously, it is also the case that the city identified as Kahriz is located within the national borders of the country known as Iran.",The city of Lodz is in Poland.,1,Lodz,Poland,Poland,The city of Kahriz is in Iran.,1,Kahriz,"Iran, Islamic Rep. of","Iran, Islamic Rep. of"
It is the case both that the city of Huainan is in China and that the city of Maiduguri is in Nigeria.,1,"It is true that the city known as Huainan is geographically located within the territorial boundaries of the country called China, and simultaneously, it is also the case that the city identified as Maiduguri is situated within the national borders of the country known as Nigeria.",The city of Huainan is in China.,1,Huainan,China,China,The city of Maiduguri is in Nigeria.,1,Maiduguri,Nigeria,Nigeria
It is the case both that the city of Shaoxing is in China and that the city of Tirunelveli is in India.,1,"It is true that the city known as Shaoxing is geographically located within the territorial boundaries of the country called China, and simultaneously, it is also the case that the city identified as Tirunelveli is situated within the national borders of the country known as India.",The city of Shaoxing is in China.,1,Shaoxing,China,China,The city of Tirunelveli is in India.,1,Tirunelveli,India,India
It is the case both that the city of Chongqing is in China and that the city of Cotonou is in Benin.,1,"It is true that the city known as Chongqing is geographically located within the territorial boundaries of the country called China, and simultaneously, it is also the case that the city identified as Cotonou is situated within the national borders of the country known as Benin, meaning that Chongqing is a city that exists within the country of China, while Cotonou is a city that exists within the country of Benin.",The city of Chongqing is in China.,1,Chongqing,China,China,The city of Cotonou is in Benin.,1,Cotonou,Benin,Benin
It is the case both that the city of Ibague is in Colombia and that the city of Kakamega is in Kenya.,1,"It is true that the city known as Ibague is geographically situated within the territorial boundaries of the country called Colombia, and simultaneously, it is also the case that the city identified as Kakamega is located within the national borders of the country known as Kenya.",The city of Ibague is in Colombia.,1,Ibague,Colombia,Colombia,The city of Kakamega is in Kenya.,1,Kakamega,Kenya,Kenya
It is the case both that the city of Bien Hoa is in Vietnam and that the city of Zhabei is in China.,1,"It is true that the city known as Bien Hoa is geographically situated within the territorial boundaries of the country called Vietnam, and simultaneously, it is also the case that the city identified as Zhabei is located within the national borders of the country known as China.",The city of Bien Hoa is in Vietnam.,1,Bien Hoa,Viet Nam,Viet Nam,The city of Zhabei is in China.,1,Zhabei,China,China
It is the case both that the city of Seongnam-si is in South Korea and that the city of Ulsan is in South Korea.,1,"It is true that the city known as Seongnam-si is geographically situated within the territorial boundaries of the country called South Korea, and simultaneously, it is also the case that the city identified as Ulsan is located within the same national borders, meaning that both Seongnam-si and Ulsan are cities that exist within the sovereign state of South Korea.",The city of Seongnam-si is in South Korea.,1,Seongnam-si,"Korea, Republic of","Korea, Republic of",The city of Ulsan is in South Korea.,1,Ulsan,"Korea, Republic of","Korea, Republic of"
It is the case both that the city of Hebi is in China and that the city of Cheongju-si is in South Korea.,1,"It is true that the city known as Hebi is geographically located within the territorial boundaries of the country called China, and simultaneously, it is also the case that the city identified as Cheongju-si is situated within the national borders of the country known as South Korea.",The city of Hebi is in China.,1,Hebi,China,China,The city of Cheongju-si is in South Korea.,1,Cheongju-si,"Korea, Republic of","Korea, Republic of"
It is the case both that the city of Erode is in India and that the city of Herat is in Afghanistan.,1,"It is true that the city known as Erode is geographically located within the territorial boundaries of the country called India, and simultaneously, it is also the case that the city identified as Herat is situated within the national borders of the country known as Afghanistan.",The city of Erode is in India.,1,Erode,India,India,The city of Herat is in Afghanistan.,1,Herat,Afghanistan,Afghanistan
It is the case both that the city of Koeln is in Germany and that the city of Dammam is in Saudi Arabia.,1,"It is true that the city known as Koeln is geographically situated within the territorial boundaries of the country called Germany, and simultaneously, it is also the case that the city identified as Dammam is located within the national borders of the country known as Saudi Arabia.",The city of Koeln is in Germany.,1,Koeln,Germany,Germany,The city of Dammam is in Saudi Arabia.,1,Dammam,Saudi Arabia,Saudi Arabia
