statement,label
Fifty-four is larger than ninety-seven.,0
Fifty-four is larger than ninety-eight.,0
Fifty-four is larger than ninety-nine.,0
Fifty-five is larger than fifty-one.,1
Fifty-five is larger than fifty-two.,1
Fifty-five is larger than fifty-three.,1
Fifty-five is larger than fifty-four.,1
Fifty-five is larger than fifty-six.,0
Fifty-five is larger than fifty-seven.,0
Fifty-five is larger than fifty-eight.,0
Fifty-five is larger than fifty-nine.,0
Fifty-five is larger than sixty-one.,0
Fifty-five is larger than sixty-two.,0
Fifty-five is larger than sixty-three.,0
Fifty-five is larger than sixty-four.,0
Fifty-five is larger than sixty-five.,0
Fifty-five is larger than sixty-six.,0
Fifty-five is larger than sixty-seven.,0
Fifty-five is larger than sixty-eight.,0
Fifty-five is larger than sixty-nine.,0
Fifty-five is larger than seventy-one.,0
Fifty-five is larger than seventy-two.,0
Fifty-five is larger than seventy-three.,0
Fifty-five is larger than seventy-four.,0
Fifty-five is larger than seventy-five.,0
Fifty-five is larger than seventy-six.,0
Fifty-five is larger than seventy-seven.,0
Fifty-five is larger than seventy-eight.,0
Fifty-five is larger than seventy-nine.,0
Fifty-five is larger than eighty-one.,0
Fifty-five is larger than eighty-two.,0
Fifty-five is larger than eighty-three.,0
Fifty-five is larger than eighty-four.,0
Fifty-five is larger than eighty-five.,0
Fifty-five is larger than eighty-six.,0
Fifty-five is larger than eighty-seven.,0
Fifty-five is larger than eighty-eight.,0
Fifty-five is larger than eighty-nine.,0
Fifty-five is larger than ninety-one.,0
Fifty-five is larger than ninety-two.,0
Fifty-five is larger than ninety-three.,0
Fifty-five is larger than ninety-four.,0
Fifty-five is larger than ninety-five.,0
Fifty-five is larger than ninety-six.,0
Fifty-five is larger than ninety-seven.,0
Fifty-five is larger than ninety-eight.,0
Fifty-five is larger than ninety-nine.,0
Fifty-six is larger than fifty-one.,1
Fifty-six is larger than fifty-two.,1
Fifty-six is larger than fifty-three.,1
Fifty-six is larger than fifty-four.,1
Fifty-six is larger than fifty-five.,1
Fifty-six is larger than fifty-seven.,0
Fifty-six is larger than fifty-eight.,0
Fifty-six is larger than fifty-nine.,0
Fifty-six is larger than sixty-one.,0
Fifty-six is larger than sixty-two.,0
Fifty-six is larger than sixty-three.,0
Fifty-six is larger than sixty-four.,0
Fifty-six is larger than sixty-five.,0
Fifty-six is larger than sixty-six.,0
Fifty-six is larger than sixty-seven.,0
Fifty-six is larger than sixty-eight.,0
Fifty-six is larger than sixty-nine.,0
Fifty-six is larger than seventy-one.,0
Fifty-six is larger than seventy-two.,0
Fifty-six is larger than seventy-three.,0
Fifty-six is larger than seventy-four.,0
Fifty-six is larger than seventy-five.,0
Fifty-six is larger than seventy-six.,0
Fifty-six is larger than seventy-seven.,0
Fifty-six is larger than seventy-eight.,0
Fifty-six is larger than seventy-nine.,0
Fifty-six is larger than eighty-one.,0
Fifty-six is larger than eighty-two.,0
Fifty-six is larger than eighty-three.,0
Fifty-six is larger than eighty-four.,0
Fifty-six is larger than eighty-five.,0
Fifty-six is larger than eighty-six.,0
Fifty-six is larger than eighty-seven.,0
Fifty-six is larger than eighty-eight.,0
Fifty-six is larger than eighty-nine.,0
Fifty-six is larger than ninety-one.,0
Fifty-six is larger than ninety-two.,0
Fifty-six is larger than ninety-three.,0
Fifty-six is larger than ninety-four.,0
Fifty-six is larger than ninety-five.,0
Fifty-six is larger than ninety-six.,0
Fifty-six is larger than ninety-seven.,0
Fifty-six is larger than ninety-eight.,0
Fifty-six is larger than ninety-nine.,0
Fifty-seven is larger than fifty-one.,1
Fifty-seven is larger than fifty-two.,1
Fifty-seven is larger than fifty-three.,1
Fifty-seven is larger than fifty-four.,1
Fifty-seven is larger than fifty-five.,1
Fifty-seven is larger than fifty-six.,1
Fifty-seven is larger than fifty-eight.,0
Fifty-seven is larger than fifty-nine.,0
Fifty-seven is larger than sixty-one.,0
Fifty-seven is larger than sixty-two.,0
Fifty-seven is larger than sixty-three.,0
Fifty-seven is larger than sixty-four.,0
Fifty-seven is larger than sixty-five.,0
Fifty-seven is larger than sixty-six.,0
Fifty-seven is larger than sixty-seven.,0
Fifty-seven is larger than sixty-eight.,0
Fifty-seven is larger than sixty-nine.,0
Fifty-seven is larger than seventy-one.,0
Fifty-seven is larger than seventy-two.,0
Fifty-seven is larger than seventy-three.,0
Fifty-seven is larger than seventy-four.,0
Fifty-seven is larger than seventy-five.,0
Fifty-seven is larger than seventy-six.,0
Fifty-seven is larger than seventy-seven.,0
Fifty-seven is larger than seventy-eight.,0
Fifty-seven is larger than seventy-nine.,0
Fifty-seven is larger than eighty-one.,0
Fifty-seven is larger than eighty-two.,0
Fifty-seven is larger than eighty-three.,0
Fifty-seven is larger than eighty-four.,0
Fifty-seven is larger than eighty-five.,0
Fifty-seven is larger than eighty-six.,0
Fifty-seven is larger than eighty-seven.,0
Fifty-seven is larger than eighty-eight.,0
Fifty-seven is larger than eighty-nine.,0
Fifty-seven is larger than ninety-one.,0
Fifty-seven is larger than ninety-two.,0
Fifty-seven is larger than ninety-three.,0
Fifty-seven is larger than ninety-four.,0
Fifty-seven is larger than ninety-five.,0
Fifty-seven is larger than ninety-six.,0
Fifty-seven is larger than ninety-seven.,0
Fifty-seven is larger than ninety-eight.,0
Fifty-seven is larger than ninety-nine.,0
Fifty-eight is larger than fifty-one.,1
Fifty-eight is larger than fifty-two.,1
Fifty-eight is larger than fifty-three.,1
Fifty-eight is larger than fifty-four.,1
Fifty-eight is larger than fifty-five.,1
Fifty-eight is larger than fifty-six.,1
Fifty-eight is larger than fifty-seven.,1
Fifty-eight is larger than fifty-nine.,0
Fifty-eight is larger than sixty-one.,0
Fifty-eight is larger than sixty-two.,0
Fifty-eight is larger than sixty-three.,0
Fifty-eight is larger than sixty-four.,0
Fifty-eight is larger than sixty-five.,0
Fifty-eight is larger than sixty-six.,0
Fifty-eight is larger than sixty-seven.,0
Fifty-eight is larger than sixty-eight.,0
Fifty-eight is larger than sixty-nine.,0
Fifty-eight is larger than seventy-one.,0
Fifty-eight is larger than seventy-two.,0
Fifty-eight is larger than seventy-three.,0
Fifty-eight is larger than seventy-four.,0
Fifty-eight is larger than seventy-five.,0
Fifty-eight is larger than seventy-six.,0
Fifty-eight is larger than seventy-seven.,0
Fifty-eight is larger than seventy-eight.,0
Fifty-eight is larger than seventy-nine.,0
Fifty-eight is larger than eighty-one.,0
Fifty-eight is larger than eighty-two.,0
Fifty-eight is larger than eighty-three.,0
Fifty-eight is larger than eighty-four.,0
Fifty-eight is larger than eighty-five.,0
Fifty-eight is larger than eighty-six.,0
Fifty-eight is larger than eighty-seven.,0
Fifty-eight is larger than eighty-eight.,0
Fifty-eight is larger than eighty-nine.,0
Fifty-eight is larger than ninety-one.,0
Fifty-eight is larger than ninety-two.,0
Fifty-eight is larger than ninety-three.,0
Fifty-eight is larger than ninety-four.,0
Fifty-eight is larger than ninety-five.,0
Fifty-eight is larger than ninety-six.,0
Fifty-eight is larger than ninety-seven.,0
Fifty-eight is larger than ninety-eight.,0
Fifty-eight is larger than ninety-nine.,0
Fifty-nine is larger than fifty-one.,1
Fifty-nine is larger than fifty-two.,1
Fifty-nine is larger than fifty-three.,1
Fifty-nine is larger than fifty-four.,1
Fifty-nine is larger than fifty-five.,1
Fifty-nine is larger than fifty-six.,1
Fifty-nine is larger than fifty-seven.,1
Fifty-nine is larger than fifty-eight.,1
Fifty-nine is larger than sixty-one.,0
Fifty-nine is larger than sixty-two.,0
Fifty-nine is larger than sixty-three.,0
Fifty-nine is larger than sixty-four.,0
Fifty-nine is larger than sixty-five.,0
Fifty-nine is larger than sixty-six.,0
Fifty-nine is larger than sixty-seven.,0
Fifty-nine is larger than sixty-eight.,0
Fifty-nine is larger than sixty-nine.,0
Fifty-nine is larger than seventy-one.,0
Fifty-nine is larger than seventy-two.,0
Fifty-nine is larger than seventy-three.,0
Fifty-nine is larger than seventy-four.,0
Fifty-nine is larger than seventy-five.,0
Fifty-nine is larger than seventy-six.,0
Fifty-nine is larger than seventy-seven.,0
Fifty-nine is larger than seventy-eight.,0
Fifty-nine is larger than seventy-nine.,0
Fifty-nine is larger than eighty-one.,0
Fifty-nine is larger than eighty-two.,0
Fifty-nine is larger than eighty-three.,0
Fifty-nine is larger than eighty-four.,0
Fifty-nine is larger than eighty-five.,0
Fifty-nine is larger than eighty-six.,0
Fifty-nine is larger than eighty-seven.,0
Fifty-nine is larger than eighty-eight.,0
Fifty-nine is larger than eighty-nine.,0
Fifty-nine is larger than ninety-one.,0
Fifty-nine is larger than ninety-two.,0
Fifty-nine is larger than ninety-three.,0
Fifty-nine is larger than ninety-four.,0
Fifty-nine is larger than ninety-five.,0
Fifty-nine is larger than ninety-six.,0
Fifty-nine is larger than ninety-seven.,0
Fifty-nine is larger than ninety-eight.,0
Fifty-nine is larger than ninety-nine.,0
Sixty-one is larger than fifty-one.,1
Sixty-one is larger than fifty-two.,1
Sixty-one is larger than fifty-three.,1
Sixty-one is larger than fifty-four.,1
Sixty-one is larger than fifty-five.,1
Sixty-one is larger than fifty-six.,1
Sixty-one is larger than fifty-seven.,1
Sixty-one is larger than fifty-eight.,1
Sixty-one is larger than fifty-nine.,1
Sixty-one is larger than sixty-two.,0
Sixty-one is larger than sixty-three.,0
Sixty-one is larger than sixty-four.,0
Sixty-one is larger than sixty-five.,0
Sixty-one is larger than sixty-six.,0
Sixty-one is larger than sixty-seven.,0
Sixty-one is larger than sixty-eight.,0
Sixty-one is larger than sixty-nine.,0
Sixty-one is larger than seventy-one.,0
Sixty-one is larger than seventy-two.,0
Sixty-one is larger than seventy-three.,0
Sixty-one is larger than seventy-four.,0
Sixty-one is larger than seventy-five.,0
Sixty-one is larger than seventy-six.,0
Sixty-one is larger than seventy-seven.,0
Sixty-one is larger than seventy-eight.,0
Sixty-one is larger than seventy-nine.,0
Sixty-one is larger than eighty-one.,0
Sixty-one is larger than eighty-two.,0
Sixty-one is larger than eighty-three.,0
Sixty-one is larger than eighty-four.,0
Sixty-one is larger than eighty-five.,0
Sixty-one is larger than eighty-six.,0
Sixty-one is larger than eighty-seven.,0
Sixty-one is larger than eighty-eight.,0
Sixty-one is larger than eighty-nine.,0
Sixty-one is larger than ninety-one.,0
Sixty-one is larger than ninety-two.,0
Sixty-one is larger than ninety-three.,0
Sixty-one is larger than ninety-four.,0
Sixty-one is larger than ninety-five.,0
Sixty-one is larger than ninety-six.,0
Sixty-one is larger than ninety-seven.,0
Sixty-one is larger than ninety-eight.,0
Sixty-one is larger than ninety-nine.,0
Sixty-two is larger than fifty-one.,1
Sixty-two is larger than fifty-two.,1
Sixty-two is larger than fifty-three.,1
Sixty-two is larger than fifty-four.,1
Sixty-two is larger than fifty-five.,1
Sixty-two is larger than fifty-six.,1
Sixty-two is larger than fifty-seven.,1
Sixty-two is larger than fifty-eight.,1
Sixty-two is larger than fifty-nine.,1
Sixty-two is larger than sixty-one.,1
Sixty-two is larger than sixty-three.,0
Sixty-two is larger than sixty-four.,0
Sixty-two is larger than sixty-five.,0
Sixty-two is larger than sixty-six.,0
Sixty-two is larger than sixty-seven.,0
Sixty-two is larger than sixty-eight.,0
Sixty-two is larger than sixty-nine.,0
Sixty-two is larger than seventy-one.,0
Sixty-two is larger than seventy-two.,0
Sixty-two is larger than seventy-three.,0
Sixty-two is larger than seventy-four.,0
Sixty-two is larger than seventy-five.,0
Sixty-two is larger than seventy-six.,0
Sixty-two is larger than seventy-seven.,0
Sixty-two is larger than seventy-eight.,0
Sixty-two is larger than seventy-nine.,0
Sixty-two is larger than eighty-one.,0
Sixty-two is larger than eighty-two.,0
Sixty-two is larger than eighty-three.,0
Sixty-two is larger than eighty-four.,0
Sixty-two is larger than eighty-five.,0
Sixty-two is larger than eighty-six.,0
Sixty-two is larger than eighty-seven.,0
Sixty-two is larger than eighty-eight.,0
Sixty-two is larger than eighty-nine.,0
Sixty-two is larger than ninety-one.,0
Sixty-two is larger than ninety-two.,0
Sixty-two is larger than ninety-three.,0
Sixty-two is larger than ninety-four.,0
Sixty-two is larger than ninety-five.,0
Sixty-two is larger than ninety-six.,0
Sixty-two is larger than ninety-seven.,0
Sixty-two is larger than ninety-eight.,0
Sixty-two is larger than ninety-nine.,0
Sixty-three is larger than fifty-one.,1
Sixty-three is larger than fifty-two.,1
Sixty-three is larger than fifty-three.,1
Sixty-three is larger than fifty-four.,1
Sixty-three is larger than fifty-five.,1
Sixty-three is larger than fifty-six.,1
Sixty-three is larger than fifty-seven.,1
Sixty-three is larger than fifty-eight.,1
Sixty-three is larger than fifty-nine.,1
Sixty-three is larger than sixty-one.,1
Sixty-three is larger than sixty-two.,1
Sixty-three is larger than sixty-four.,0
Sixty-three is larger than sixty-five.,0
Sixty-three is larger than sixty-six.,0
Sixty-three is larger than sixty-seven.,0
Sixty-three is larger than sixty-eight.,0
Sixty-three is larger than sixty-nine.,0
Sixty-three is larger than seventy-one.,0
Sixty-three is larger than seventy-two.,0
Sixty-three is larger than seventy-three.,0
Sixty-three is larger than seventy-four.,0
Sixty-three is larger than seventy-five.,0
Sixty-three is larger than seventy-six.,0
Sixty-three is larger than seventy-seven.,0
Sixty-three is larger than seventy-eight.,0
Sixty-three is larger than seventy-nine.,0
Sixty-three is larger than eighty-one.,0
Sixty-three is larger than eighty-two.,0
Sixty-three is larger than eighty-three.,0
Sixty-three is larger than eighty-four.,0
Sixty-three is larger than eighty-five.,0
Sixty-three is larger than eighty-six.,0
Sixty-three is larger than eighty-seven.,0
Sixty-three is larger than eighty-eight.,0
Sixty-three is larger than eighty-nine.,0
Sixty-three is larger than ninety-one.,0
Sixty-three is larger than ninety-two.,0
Sixty-three is larger than ninety-three.,0
Sixty-three is larger than ninety-four.,0
Sixty-three is larger than ninety-five.,0
Sixty-three is larger than ninety-six.,0
Sixty-three is larger than ninety-seven.,0
Sixty-three is larger than ninety-eight.,0
Sixty-three is larger than ninety-nine.,0
Sixty-four is larger than fifty-one.,1
Sixty-four is larger than fifty-two.,1
Sixty-four is larger than fifty-three.,1
Sixty-four is larger than fifty-four.,1
Sixty-four is larger than fifty-five.,1
Sixty-four is larger than fifty-six.,1
Sixty-four is larger than fifty-seven.,1
Sixty-four is larger than fifty-eight.,1
Sixty-four is larger than fifty-nine.,1
Sixty-four is larger than sixty-one.,1
Sixty-four is larger than sixty-two.,1
Sixty-four is larger than sixty-three.,1
Sixty-four is larger than sixty-five.,0
Sixty-four is larger than sixty-six.,0
Sixty-four is larger than sixty-seven.,0
Sixty-four is larger than sixty-eight.,0
Sixty-four is larger than sixty-nine.,0
Sixty-four is larger than seventy-one.,0
Sixty-four is larger than seventy-two.,0
Sixty-four is larger than seventy-three.,0
Sixty-four is larger than seventy-four.,0
Sixty-four is larger than seventy-five.,0
Sixty-four is larger than seventy-six.,0
Sixty-four is larger than seventy-seven.,0
Sixty-four is larger than seventy-eight.,0
Sixty-four is larger than seventy-nine.,0
Sixty-four is larger than eighty-one.,0
Sixty-four is larger than eighty-two.,0
Sixty-four is larger than eighty-three.,0
Sixty-four is larger than eighty-four.,0
Sixty-four is larger than eighty-five.,0
Sixty-four is larger than eighty-six.,0
Sixty-four is larger than eighty-seven.,0
Sixty-four is larger than eighty-eight.,0
Sixty-four is larger than eighty-nine.,0
Sixty-four is larger than ninety-one.,0
Sixty-four is larger than ninety-two.,0
Sixty-four is larger than ninety-three.,0
Sixty-four is larger than ninety-four.,0
Sixty-four is larger than ninety-five.,0
Sixty-four is larger than ninety-six.,0
Sixty-four is larger than ninety-seven.,0
Sixty-four is larger than ninety-eight.,0
Sixty-four is larger than ninety-nine.,0
Sixty-five is larger than fifty-one.,1
Sixty-five is larger than fifty-two.,1
Sixty-five is larger than fifty-three.,1
Sixty-five is larger than fifty-four.,1
Sixty-five is larger than fifty-five.,1
Sixty-five is larger than fifty-six.,1
Sixty-five is larger than fifty-seven.,1
Sixty-five is larger than fifty-eight.,1
Sixty-five is larger than fifty-nine.,1
Sixty-five is larger than sixty-one.,1
Sixty-five is larger than sixty-two.,1
Sixty-five is larger than sixty-three.,1
Sixty-five is larger than sixty-four.,1
Sixty-five is larger than sixty-six.,0
Sixty-five is larger than sixty-seven.,0
Sixty-five is larger than sixty-eight.,0
Sixty-five is larger than sixty-nine.,0
Sixty-five is larger than seventy-one.,0
Sixty-five is larger than seventy-two.,0
Sixty-five is larger than seventy-three.,0
Sixty-five is larger than seventy-four.,0
Sixty-five is larger than seventy-five.,0
Sixty-five is larger than seventy-six.,0
Sixty-five is larger than seventy-seven.,0
Sixty-five is larger than seventy-eight.,0
Sixty-five is larger than seventy-nine.,0
Sixty-five is larger than eighty-one.,0
Sixty-five is larger than eighty-two.,0
Sixty-five is larger than eighty-three.,0
Sixty-five is larger than eighty-four.,0
Sixty-five is larger than eighty-five.,0
Sixty-five is larger than eighty-six.,0
Sixty-five is larger than eighty-seven.,0
Sixty-five is larger than eighty-eight.,0
Sixty-five is larger than eighty-nine.,0
Sixty-five is larger than ninety-one.,0
Sixty-five is larger than ninety-two.,0
Sixty-five is larger than ninety-three.,0
Sixty-five is larger than ninety-four.,0
Sixty-five is larger than ninety-five.,0
Sixty-five is larger than ninety-six.,0
Sixty-five is larger than ninety-seven.,0
Sixty-five is larger than ninety-eight.,0
Sixty-five is larger than ninety-nine.,0
Sixty-six is larger than fifty-one.,1
Sixty-six is larger than fifty-two.,1
Sixty-six is larger than fifty-three.,1
Sixty-six is larger than fifty-four.,1
Sixty-six is larger than fifty-five.,1
Sixty-six is larger than fifty-six.,1
Sixty-six is larger than fifty-seven.,1
Sixty-six is larger than fifty-eight.,1
Sixty-six is larger than fifty-nine.,1
Sixty-six is larger than sixty-one.,1
Sixty-six is larger than sixty-two.,1
Sixty-six is larger than sixty-three.,1
Sixty-six is larger than sixty-four.,1
Sixty-six is larger than sixty-five.,1
Sixty-six is larger than sixty-seven.,0
Sixty-six is larger than sixty-eight.,0
Sixty-six is larger than sixty-nine.,0
Sixty-six is larger than seventy-one.,0
Sixty-six is larger than seventy-two.,0
Sixty-six is larger than seventy-three.,0
Sixty-six is larger than seventy-four.,0
Sixty-six is larger than seventy-five.,0
Sixty-six is larger than seventy-six.,0
Sixty-six is larger than seventy-seven.,0
Sixty-six is larger than seventy-eight.,0
Sixty-six is larger than seventy-nine.,0
Sixty-six is larger than eighty-one.,0
Sixty-six is larger than eighty-two.,0
Sixty-six is larger than eighty-three.,0
Sixty-six is larger than eighty-four.,0
Sixty-six is larger than eighty-five.,0
Sixty-six is larger than eighty-six.,0
Sixty-six is larger than eighty-seven.,0
Sixty-six is larger than eighty-eight.,0
Sixty-six is larger than eighty-nine.,0
Sixty-six is larger than ninety-one.,0
Sixty-six is larger than ninety-two.,0
Sixty-six is larger than ninety-three.,0
Sixty-six is larger than ninety-four.,0
Sixty-six is larger than ninety-five.,0
Sixty-six is larger than ninety-six.,0
Sixty-six is larger than ninety-seven.,0
Sixty-six is larger than ninety-eight.,0
Sixty-six is larger than ninety-nine.,0
Sixty-seven is larger than fifty-one.,1
Sixty-seven is larger than fifty-two.,1
Sixty-seven is larger than fifty-three.,1
Sixty-seven is larger than fifty-four.,1
Sixty-seven is larger than fifty-five.,1
Sixty-seven is larger than fifty-six.,1
Sixty-seven is larger than fifty-seven.,1
Sixty-seven is larger than fifty-eight.,1
Sixty-seven is larger than fifty-nine.,1
Sixty-seven is larger than sixty-one.,1
Sixty-seven is larger than sixty-two.,1
Sixty-seven is larger than sixty-three.,1
Sixty-seven is larger than sixty-four.,1
Sixty-seven is larger than sixty-five.,1
Sixty-seven is larger than sixty-six.,1
Sixty-seven is larger than sixty-eight.,0
Sixty-seven is larger than sixty-nine.,0
Sixty-seven is larger than seventy-one.,0
Sixty-seven is larger than seventy-two.,0
Sixty-seven is larger than seventy-three.,0
Sixty-seven is larger than seventy-four.,0
Sixty-seven is larger than seventy-five.,0
Sixty-seven is larger than seventy-six.,0
Sixty-seven is larger than seventy-seven.,0
Sixty-seven is larger than seventy-eight.,0
Sixty-seven is larger than seventy-nine.,0
Sixty-seven is larger than eighty-one.,0
Sixty-seven is larger than eighty-two.,0
Sixty-seven is larger than eighty-three.,0
Sixty-seven is larger than eighty-four.,0
Sixty-seven is larger than eighty-five.,0
Sixty-seven is larger than eighty-six.,0
Sixty-seven is larger than eighty-seven.,0
Sixty-seven is larger than eighty-eight.,0
Sixty-seven is larger than eighty-nine.,0
Sixty-seven is larger than ninety-one.,0
Sixty-seven is larger than ninety-two.,0
Sixty-seven is larger than ninety-three.,0
Sixty-seven is larger than ninety-four.,0
Sixty-seven is larger than ninety-five.,0
Sixty-seven is larger than ninety-six.,0
Sixty-seven is larger than ninety-seven.,0
Sixty-seven is larger than ninety-eight.,0
Sixty-seven is larger than ninety-nine.,0
Sixty-eight is larger than fifty-one.,1
Sixty-eight is larger than fifty-two.,1
Sixty-eight is larger than fifty-three.,1
Sixty-eight is larger than fifty-four.,1
Sixty-eight is larger than fifty-five.,1
Sixty-eight is larger than fifty-six.,1
Sixty-eight is larger than fifty-seven.,1
Sixty-eight is larger than fifty-eight.,1
Sixty-eight is larger than fifty-nine.,1
